Type,Title,Year,Director/Creator,Cast,BoxOffice(USD),Duration(min),Genres
Movie,Inception,2010,Christopher Nolan,Leonardo DiCaprio|Joseph Gordon-Levitt,836000000,148,Action
Movie,The Dark Knight,2008,Christopher Nolan,Christian Bale|Heath Ledger,1005000000,152,Action
Movie,Interstellar,2014,Christopher Nolan,Matthew McConaughey|Anne Hathaway,677000000,169,Sci-Fi
Movie,Titanic,1997,James Cameron,Leonardo DiCaprio|Kate Winslet,2200000000,195,Romance
Movie,Avatar,2009,James Cameron,Sam Worthington|Zoe Saldana,2920000000,162,Sci-Fi
Movie,Avengers: Endgame,2019,Russo Brothers,Robert Downey Jr.|Chris Evans,2798000000,181,Action
Movie,Joker,2019,Todd Phillips,Joaquin Phoenix,1074000000,122,Drama
Movie,The Matrix,1999,Wachowski Sisters,Keanu Reeves,467000000,136,Sci-Fi
Movie,Gladiator,2000,Ridley Scott,Russell Crowe,460000000,155,Action
Movie,Forrest Gump,1994,Robert Zemeckis,Tom Hanks,678000000,142,Drama
Movie,The Shawshank Redemption,1994,Frank Darabont,Tim Robbins|Morgan Freeman,28341469,142,Drama
Movie,The Godfather,1972,Francis Ford Coppola,Marlon Brando|Al Pacino,246000000,175,Crime
Movie,The Godfather Part II,1974,Francis Ford Coppola,Al Pacino|Robert De Niro,48000000,202,Crime
Movie,Pulp Fiction,1994,Quentin Tarantino,John Travolta|Samuel L. Jackson,213900000,154,Crime
Movie,Fight Club,1999,David Fincher,Brad Pitt|Edward Norton,101200000,139,Drama
Movie,The Social Network,2010,David Fincher,Jesse Eisenberg,224900000,120,Drama
Movie,Parasite,2019,Bong Joon-ho,Song Kang-ho,258000000,132,Thriller
Movie,Whiplash,2014,Damien Chazelle,Miles Teller|J.K. Simmons,49000000,106,Drama
Movie,La La Land,2016,Damien Chazelle,Ryan Gosling|Emma Stone,446000000,128,Romance
Movie,The Lion King,1994,Roger Allers,Matthew Broderick,968000000,88,Animation
